"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"MEMAPE29",0.349571292063348,0.124499312114485,0.574643272012211,0.150984068688882,3.17490129681058,0.00350781861981966,0.173142535589859,-1.80122316879271,0.349571292063348,0.00350781861981966,0.173142535589859,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(18:1e/22:6)",NA,NA,"Glycerophospholipids","Glycerophospholipids"
"MEMAPE30",0.125964235482115,-0.129086616126197,0.381015087090426,0.309794245735999,1.00956986127516,0.320951967063276,0.450368082814597,-5.43084271207207,0.125964235482115,0.320951967063276,0.450368082814597,"PLUS","Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(18:2e/22:6)",NA,NA,"Glycerophospholipids","ns"
"MG02",-0.513158372753711,-0.912267197190585,-0.114049548316838,-0.553037709244704,-2.62939041536276,0.0135291970125554,0.26959282638224,-2.95823515129672,-0.513158372753711,0.0135291970125554,0.26959282638224,"PLUS","Glycerolipids","Monoacylglycerols","MG(16:0/0:0/0:0)","HMDB11564",NA,"Glycerolipids","Glycerolipids"
"MG06",0.0623524204650939,-0.512605439375222,0.63731028030541,1.44055990709139,0.221774846993408,0.826039632626076,0.887227753561342,-5.88742222195788,0.0623524204650939,0.826039632626076,0.887227753561342,"PLUS","Glycerolipids","Monoacylglycerols","MG(18:2(9Z,12Z)/0:0/0:0)","HMDB11568",NA,"Glycerolipids","ns"
"SphLip_02",0.3823656359656,0.125867135761669,0.638864136169531,-0.177906334963902,3.04726290003458,0.00484902615643153,0.180799403832661,-2.08113860699443,0.3823656359656,0.00484902615643153,0.180799403832661,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:0/14:0)","HMDB12085","C00550","Sphingolipids","Sphingolipids"
"SphLip_03",0.262970425474059,-0.00100261026899506,0.526943461217113,-0.181349529061631,2.03640072054163,0.0508207689348775,0.273501298499019,-4.05894893418584,0.262970425474059,0.0508207689348775,0.273501298499019,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:0/15:0)",NA,NA,"Sphingolipids","ns"
"SphLip_04",0.18259334217611,0.034382288127521,0.330804396224699,-0.668734040276034,2.51837408702935,0.0174883372369168,0.26959282638224,-3.17628227681759,0.18259334217611,0.0174883372369168,0.26959282638224,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:0/16:0)","HMDB10168","C00550","Sphingolipids","Sphingolipids"
"SphLip_05",0.185525515239418,-0.122295819667859,0.493346850146694,-0.343207209048388,1.23241814409239,0.227645294086881,0.385814426991402,-5.20171631942725,0.185525515239418,0.227645294086881,0.385814426991402,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:0/18:0)","HMDB12087","C00550","Sphingolipids","ns"
"SphLip_06",0.186557155748591,-0.109394125692774,0.482508437189955,-0.26072759219263,1.28880858384913,0.207573668094771,0.36854916580092,-5.13727322831263,0.186557155748591,0.207573668094771,0.36854916580092,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:0/22:0)","HMDB12091","C00550","Sphingolipids","ns"
"SphLip_07",0.512695946254079,0.19515318969669,0.830238702811468,-0.230944588780476,3.30181441765726,0.00254983804788474,0.16637693262448,-1.52305099044356,0.512695946254079,0.00254983804788474,0.16637693262448,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:1/12:0)","HMDB12096","C00550","Sphingolipids","Sphingolipids"
"SphLip_08",0.311559985284117,0.10777900046644,0.515340970101794,0.0630509669755771,3.1253158741849,0.00398028817447953,0.173142535589859,-1.91058789217031,0.311559985284117,0.00398028817447953,0.173142535589859,"PLUS","Sphingolipids","Sphingomyelin","SM(32:1)",NA,NA,"Sphingolipids","Sphingolipids"
"SphLip_09",0.213674558259331,0.0316068537706207,0.395742262748041,0.357770251963385,2.39903065831758,0.0230059804695786,0.26959282638224,-3.4063569692867,0.213674558259331,0.0230059804695786,0.26959282638224,"PLUS","Sphingolipids","Sphingomyelin","SM(33:1)",NA,NA,"Sphingolipids","Sphingolipids"
"SphLip_10",0.143056779815978,0.0236153451092987,0.262498214522656,-0.133049013916772,2.44832650084046,0.0205577653422529,0.26959282638224,-3.31217614928915,0.143056779815978,0.0205577653422529,0.26959282638224,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:1/16:0)","HMDB10169","C00550","Sphingolipids","Sphingolipids"
"SphLip_11",0.211000054894354,0.0926516137645425,0.329348496024165,0.0118865121311899,3.64448297988053,0.00102725549439,0.136302890180442,-0.732085610439374,0.211000054894354,0.00102725549439,0.136302890180442,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:2/16:0)",NA,NA,"Sphingolipids","Sphingolipids"
"SphLip_12",0.158836788563013,-0.0144604869635541,0.332134064089579,0.149883021885248,1.87359303202123,0.0709742674009424,0.273501298499019,-4.32665134444561,0.158836788563013,0.0709742674009424,0.273501298499019,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:1/17:0)",NA,NA,"Sphingolipids","ns"
"SphLip_13",0.112516998875451,-0.0483139282418848,0.273347925992787,-0.196355410823287,1.43009363701595,0.163249508375164,0.336934021754669,-4.96469056627529,0.112516998875451,0.163249508375164,0.336934021754669,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:1/18:0)","HMDB01348","C00550","Sphingolipids","ns"
"SphLip_14",0.0985888978293025,-0.0425753805112995,0.239753176169904,-0.279676427812189,1.42764128685037,0.163948738554954,0.336934021754669,-4.96781897001612,0.0985888978293025,0.163948738554954,0.336934021754669,"PLUS","Sphingolipids","Sphingomyelin","SM(36:2)",NA,NA,"Sphingolipids","ns"
"SphLip_16",0.143243886405777,-0.0164107336444491,0.302898506456004,-0.0688118319211393,1.83404718572117,0.0768040826296592,0.273501298499019,-4.3891046356374,0.143243886405777,0.0768040826296592,0.273501298499019,"PLUS","Sphingolipids","Sphingomyelin","SM(38:1)",NA,NA,"Sphingolipids","ns"
"SphLip_17",0.104857565232658,-0.0273421302509364,0.237057260716252,-0.288276741757987,1.62138150383226,0.115630501955884,0.290188086639286,-4.70673237081165,0.104857565232658,0.115630501955884,0.290188086639286,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:2/20:0)",NA,NA,"Sphingolipids","ns"
"SphLip_19",0.18742465725674,-0.0343569717788997,0.40920628629238,0.199129934921955,1.72749602250669,0.0945888411625232,0.277254083483343,-4.55215954164295,0.18742465725674,0.0945888411625232,0.277254083483343,"PLUS","Sphingolipids","Sphingomyelin","SM(39:1)",NA,NA,"Sphingolipids","ns"
"SphLip_20",0.143735550155781,-0.00707584676315534,0.294546947074717,-0.165972912947793,1.94825559812651,0.0610027618203265,0.273501298499019,-4.20596556589913,0.143735550155781,0.0610027618203265,0.273501298499019,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:1/22:0)","HMDB12103","C00550","Sphingolipids","ns"
"SphLip_21",0.203962023671214,-0.0444746468020867,0.452398694144515,-0.146931163811287,1.67822239405521,0.103921480139728,0.279197129429994,-4.62492326450458,0.203962023671214,0.103921480139728,0.279197129429994,"PLUS","Sphingolipids","Sphingomyelin","SM(d16:1/24:1)","HMDB11694",NA,"Sphingolipids","ns"
"SphLip_22",0.130650553977368,0.000791360202945596,0.26050974775179,-0.221420522321586,2.05662188635643,0.0487075131552035,0.273501298499019,-4.02454755183695,0.130650553977368,0.0487075131552035,0.273501298499019,"PLUS","Sphingolipids","Sphingomyelin","SM(d18:2/22:0)",NA,NA,"Sphingolipids","Sphingolipids"
