"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"MEMAPE01",0.0193256468542046,-0.194911649330873,0.233562943039282,-1.07450440668424,0.178972756973785,0.858322056670405,0.910015844970418,-4.90961273539092,0.0193256468542046,0.858322056670405,0.910015844970418,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(O-16:0/18:1)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE02",0.0727139626284002,-0.150690641620228,0.296118566877029,-0.534061718691505,0.64576374791022,0.519914928982287,0.68907549693341,-4.81758029787297,0.0727139626284002,0.519914928982287,0.68907549693341,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/18:2)","HMDB11343",NA,"Glycerophospholipids","ns"
"MEMAPE05",0.101422645299798,-0.121296225947404,0.324141516547,-0.758929155455759,0.903495272134652,0.368439527287979,0.575824650432111,-4.72269459405635,0.101422645299798,0.368439527287979,0.575824650432111,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/18:1)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE06",0.134819590053774,-0.127937085989188,0.397576266096736,-0.277827550259395,1.01799866995142,0.311140982242794,0.53720686186427,-4.67065625790097,0.134819590053774,0.311140982242794,0.53720686186427,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE08",0.161150872865056,-0.088780508060598,0.41108225379071,-0.386137706835603,1.2792630059185,0.20377181488087,0.432393851088676,-4.52957749870363,0.161150872865056,0.20377181488087,0.432393851088676,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/20:4)","HMDB11386",NA,"Glycerophospholipids","ns"
"MEMAPE09",0.0925979539311114,-0.157757854895745,0.342953762757968,-0.240863170864113,0.733823618475415,0.464777310151636,0.645249350795622,-4.78864996449939,0.0925979539311114,0.464777310151636,0.645249350795622,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE11",0.0682227856771946,-0.115305358743296,0.251750930097685,0.422455302956441,0.737521597254336,0.462536341760847,0.645249350795622,-4.78735551364118,0.0682227856771946,0.462536341760847,0.645249350795622,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-16:0/22:6)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE13",0.144569365763462,-0.0543878967944926,0.343526628321417,-0.362856641740407,1.44166530363564,0.15252853725042,0.389159908404715,-4.42652324772964,0.144569365763462,0.15252853725042,0.389159908404715,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-17:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE14",0.122102740187469,-0.0667505266613556,0.310956007036294,0.336625959588644,1.28277024090232,0.20254484592308,0.432393851088676,-4.52747507033138,0.122102740187469,0.20254484592308,0.432393851088676,"Glycerophospholipids","1-ether, 2-acylglycerophosphocholine","PC(P-17:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE15",0.167504088991122,-0.0491757895405064,0.384183967522751,-0.57299053339111,1.53375078261133,0.128256201884828,0.384731614671854,-4.36296698414982,0.167504088991122,0.128256201884828,0.384731614671854,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-20:0/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE16",0.148232604774507,-0.091692048028346,0.38815725757736,-0.349792016787223,1.22579214151279,0.223162624749459,0.451371208821458,-4.56095181982444,0.148232604774507,0.223162624749459,0.451371208821458,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/22:5) + PE(P-20:1/20:4)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE17",0.0840402412856941,-0.133350556197699,0.301431038769087,-0.219017372542242,0.766997772182984,0.444894140475957,0.638281206892525,-4.77680894963135,0.0840402412856941,0.444894140475957,0.638281206892525,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(P-18:0/18:2)","HMDB11376",NA,"Glycerophospholipids","ns"
"MEMAPE20",-0.214804620326443,-0.597235846778154,0.167626606125268,-0.55634672720015,-1.11443338064807,0.267778823655671,0.499633892711701,-4.62217454812148,-0.214804620326443,0.267778823655671,0.499633892711701,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(16:1e/20:3)",NA,NA,"Glycerophospholipids","ns"
"MEMAPE21",0.0180115443750505,-0.251661697666855,0.287684786416956,-0.196645790415003,0.132513786448257,0.894844821618429,0.923140310049051,-4.91308278484642,0.0180115443750505,0.894844821618429,0.923140310049051,"Glycerophospholipids","1-ether, 2-acylglycerophosphoethanolamine","PE(16:1e/20:5)",NA,NA,"Glycerophospholipids","ns"
